OBJECTID,conduitid,routeid,startnode,endnode,nestcolumn,nestrow,nbnlength,subductnum,actlength,material,diameter,leadin,fill,cableids,owner,scopestate,blockenda,blockendb,blocksurf,mandrelcal,mandrelscp,mandrelmax,fr02,fr05,fr06,fr07,fr08,fr09,fr10,fr12,fr14,fr15,fr16,ohsflag,stdcomment,fircomment,othcomment,loadsource,phototaken,projectid,Shape,GlobalID
22,207500894,201528966,207500874,207500887,A,A,37,0,0,,35, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104030000002675027CC5956841483789B9E44C4DC1C8073D2BC0956841F09E3C24EA4C4DC15227A095BF956841F09E3C24EA4C4DC101000000010000000001000000FFFFFFFF0000000002,024CB79F-F5D9-47A0-AB07-21CB91936EFF
23,207613032,201547182,207612749,207612770,A,A,79.7,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104050000008A1F63D42498684110A5BD5142504DC1EA73B55724986841F0B0502B44504DC1BCE3146D24986841C8FEB2FB49504DC1726891772B98684100BC052A62504DC1C07D1D262C986841E826310862504DC101000000010000000001000000FFFFFFFF0000000002,5B3CADF6-02C3-4CF4-95A6-F6C416545740
24,5000370179,5000053427,5000370178,207149926,A,A,49,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114BCE3143BE195684100D57821C74C4DC16666663AE7956841E0141DB9C04C4DC1,0CB3216B-8436-4F50-BCD5-2B6CFD87C287
25,5000370180,5000053427,5000370178,207149926,B,A,49,0,0,,100, ,0,6PNJ-00-00-TSS-005,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114BCE3143BE195684100D57821C74C4DC16666663AE7956841E0141DB9C04C4DC1,F4AA81A7-172C-4597-9F8B-F91AF996870D
26,15010237216,15002027077,15010236292,15010237215,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000CC7F4875DC996841C8C3429D40564DC1D044D878DC996841304CA6B23E564DC1C8073D71DB9968410893A9AA3A564DC101000000010000000001000000FFFFFFFF0000000002,57330306-B8C6-4DB0-BC67-F1B02A7C7716
27,15007373466,15001384242,15007373420,15013850140,A,B,103,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104030000007E8CB9E32A97684158B1BFACDB4C4DC11461C39F22976841B003E77CE14C4DC12EFF21AB1C976841F00DBE58E24C4DC101000000010000000001000000FFFFFFFF0000000002,1A8EF924-2E67-4C39-9B1B-80C2BF1009FB
28,15007373468,15001384242,15007373420,15013850140,A,A,103,0,0,,100, ,0,6PNJ-00-00-TSS-004,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104030000007E8CB9E32A97684158B1BFACDB4C4DC11461C39F22976841B003E77CE14C4DC12EFF21AB1C976841F00DBE58E24C4DC101000000010000000001000000FFFFFFFF0000000002,BFE030CC-1FA4-46BF-827E-574928890531
29,4213062051,4202094328,207687601,4213062043,A,A,18.8,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000F085C9848D99684188F4DBEF40554DC1B0506B368D99684118AE473142554DC1D812F2C38B996841806ABC3448554DC101000000010000000001000000FFFFFFFF0000000002,56410EB8-518D-446F-9E0A-E9A34C138329
30,207607628,201546239,207236932,207607625,A,A,28.5,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000C286A7715A9A6841603255789F574DC1AED85FF25B9A6841C8FEB21B9B574DC11E166A2F5D9A6841E8C0392B94574DC101000000010000000001000000FFFFFFFF0000000002,F2009EC7-C016-4439-9558-6DBD3736FFD7
31,207611878,201546927,207237222,207611871,A,A,53.3,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000D6E76A5B0E9A6841381AC08B24574DC17A36AB300E9A6841986E120B21574DC16E1283F6129A6841C0F5288C0D574DC101000000010000000001000000FFFFFFFF0000000002,1CC32BF1-2E0B-4916-AB2B-880F66BCCB10
